text,sentiment,score
A LOT OF SAD PARTS,Neutral,-0.5
THERE IS SAD PART,Negative,-1.2
AND ITS A REALLY FUNNY,Positive,1.8
BUT IT WAS REALLY REALLY AWESOME,Positive,2.2
ANYHOW IT WAS REALLY GOOD,Positive,2.4
I MEAN THEY DID A LITTLE BIT OF IT,Negative,-1.0
THAY DID THEY DIDNT REALLY DO A WHOLE BUNCH OF BACKGROUND INFO ON WHY SHE HAS TO FIGHT AND BE PREPARED,Negative,-0.8
AND THEY SHOULDVE I GUESS,Neutral,0.0
BUT NOT A WHOLE BUNCH,Negative,-1.75
AND XXX BUT BESIDES THAT IT WAS ALL OVER PRETTY GOOD,Positive,0.8
THEY SHOULDVE LIVE UP WITH MORE,Neutral,0.0
OH MY GOD A LOT OF ACTION,Positive,0.2
AND THERE IS LIKE SOMEONE WHILE SOMEONE THERE WAS A LOT OF ACTION,Neutral,0.0
I MEAN THAT WAS IMPRESSIVE,Positive,2.6
I LIKED THAT SCENE WHERE HE HAD A SWORDS IN THERE AND THERES BUNCH OF PEOPLE THAT ARE GONNA SHOOT HIM BOOM BOOM BOOM BOOM TAKE HIM DOWN TAKE HIM DOWN BAM BAM BAM BAM BAM TAKE THAT WITH MY MAGICAL SWORDS,Positive,2.2
OK BUT THE TWO BIG CHARACTER APPEARANCES IN THIS MOVIE ARE EASILY DEADPOOL AND GAMBIT,Positive,0.6
ACTUALLY I LIKED HIM A LOT,Positive,2.0
AND I THOUGHT HE MADE A GOOD ACTOR FOR THE DEAD POOR CHARACTER,Positive,1.8
NOW HES SEEN AT THE BEGINNING THAT REALLY SOLD ME,Positive,2.6
NOW THE TITLE OF THE MOVIE BASICALLY SAYS IT ALL,Negative,-0.4
MY REASON IM A COMIC BOOK FAN,Negative,-0.2
NOW IM NOT EVEN GONNA SUGAR COAT THIS THIS MOVIE FRUSTRATED ME TO SUCH AN EXTREME EXTENT THAT I WAS LOUDLY EXCLAIMING WHY AT THE END OF THE FILM,Negative,-2.8
THAT HUH BEFORE WE GO ON WITH THAT I MUST SAY THAT THIS HAD A SURPRISINGLY DECENT CAST,Positive,0.8
THAT LIKE TO SEE COMIC BOOK CHARACTERS TREATED RESPONSIBLY,Negative,-1.4
NOW HUGH JACKMAN WAS ALWAYS THE BEST CHOICE TO PLAY WOLVERINE I WILL ADMIT THAT,Positive,1.8
STRANGE SINCE ONE OF MY BIGGEST GRAPES WITH THE XMAN SERIES WAS AND ALWAYS IS THE XXX,Negative,-1.4
YOU KNOW NOTHING GREAT,Negative,-1.0
AND IN MY OPINION HE CARRIED THE MOVIE FINE,Positive,0.8
HES A STAR OF THE MOVIE,Positive,0.4
BUT YOU KNOW HE DID IT,Negative,-0.6
HE CARRIED IT,Positive,1.25
NOTHING SPECIAL,Negative,-0.8
BUT ITS PRETTY SELFEXPLANATORY,Neutral,0.0
WHICH IS A SMART MOVE SINCE YOU KNOW YOU HAVE TO BE REAL COMIC BOOK FAN TO GET WHAT HES NAME IS SUPPOSED TO BE,Positive,1.4
AND HE ALMOST LOOKS EXACTLY THE SAME AS THIS CHARACTER IN DEFIANCE,Positive,0.2
UM I ACTUALLY THINK THAT LIEV SCHREIBER IS A GOOD ACTOR,Positive,0.6
NOW OTHER PERFORMANCES ARE BORDERLINE,Negative,-0.4
I MEAN IT WAS LIKE HE WAS TOO LAZY TO TAKE OFF THE COSTUME OR SOMETHING,Negative,-2.0
BUT FOR ME I WAS JUST A LITTLE BORED,Negative,-1.8
KIDS ARE GONNA LOVE THE FILM,Positive,2.6
BUT OTHERWISE I DONT KNOW,Negative,-1.25
SURE THERE WERE CUTE MONEY PARTS IN THE MIXTING OF THE FILM,Positive,0.4
I DIDNT EVEN CARE FOR IT,Negative,-2.0
BUT FOR THIS ONE I JUST DIDNT FEEL LIKE IT,Negative,-2.0
BECAUSE IT HAD A REAL NOSTALGIC FEEL TO IT,Positive,1.0
UM I LOVED THE VERY FIRST ALVIN AND THE CHIPMUNKS MOVIE,Positive,1.6
BUT YOU KNOW FOR THIS ONE I JUST DIDNT CARE,Negative,-1.8
IT REMINDED ME OF GETTING UP ON A SATURDAY MORNING AND EATING FRUIT LOOPS AND UM WATCHING CARTOONS,Positive,2.0
AND UM WHILE THE TRAILER MADE THE FILM LOOK REAL NICE AND CUTE,Negative,-1.6
UM I SAW NO REASON WHY THEY NEEDED TO BRING BACK THE VILLAIN FROM THE FIRST ONE,Negative,-1.6
UM IM SURE KIDS ARE GONNA LOVE IT,Positive,2.2
IT WAS JUST FLAT,Negative,-1.8
AND YOU KNEW YOU SHOULDNT BE LAUGHING,Negative,-1.0
MY FAVORITE SCENE WOULD DEFINATELY BE THE VOLTURI,Positive,2.0
UM THEN MY WINS ON SCREEN WISKERS I MEAN THEY WERE REALLY WORN IN A LOTS WHICH IS A SHAME BECAUSE I THOUGHT XXX REALLY RATHER GOOD,Negative,-0.6
AND UM MICHAEL SHEEN AS ARO AS WELL HE WAS RATHER ENJOYABLE TO WATCH,Positive,1.8
AND THE SCRIPT IT LEFT ALL THE KEY PLOTS AND EMOTION FROM THE CHARACTERS TO BE EXPOSED THROUGH DIALOGUE,Positive,0.4
I THINK IT WAS EMPIRE MAGAZINES REVIEW OF NEW MOON THAT SAID THAT KRISTEN RELIED HEAVILY ON THE TACTIC OF TACTIC OF BLINKING A LOT WHICH SHE REALLY DOES DO A LOT,Negative,-0.4
BUT AT THE SAME GOES FOR ROB PATTINSON AS EDWARD AND TAYLOR LAUTNER AS JACOB THEY DO A LOT OF FROWNING IM A MANLY MAN AND I FROWN,Negative,-0.2
FOR THE MOMENT IN THIS THE WHOLE CINEMA WAS LAUGHTING,Positive,1.8
AND I THINK THE VOLTURI THAT WAS MY EXCITING BIT OF THE ENTIRE FILM,Positive,1.2
THE REST OF THE FILM WAS JUST WATCHING KRISTEN JUST MOB AROUND,Negative,-1.4
AND I THOUGHT THEY WERE AVERAGE,Negative,-0.4
I THOUGHT TWILIGHT DIRECTED BY CATHERINE HARDWICKE WAS ACTUALLY REALLY RATHER ENJOYABLE,Positive,2.0
LETS FACE IT THEY ARE REALLY NOT MASTER PIECES,Negative,-1.75
BUT CINEMATICLY I THOUGHT IT WAS GOOD QUITE GOOD,Positive,2.2
UM I MEAN OBVIOUSLY IT HAD ITS FLAWS,Negative,-1.2
I WASNT THINKING ON HEARING THAT CHRIS WEITZ WAS GONNA START THE NEW MOON BECAUSE OF THE DESTRUCTION THAT WAS PHILLIP PULLMAN THE GOLDEN COMPASS,Negative,-0.6
IT WASIT WAS ENJOYABLE,Positive,1.6
AND I I DIDINT REALLY KNOW WHAT TO EXPECT FROM NEW MOON UM IN TERMS OF HIS DIRECTION,Negative,-0.2
I THOUGHT THAT FILM WAS AWFUL,Negative,-2.4
THE THING IS ITS A VERY GOOD TRANSLATION OF THE BOOK,Positive,2.2
OVERALL NEW MOON WAS IT WAS OK JUST AVERAGE,Positive,0.6
AND I REALLY APPRECIATE THAT LOYALTY,Positive,1.4
ITS VERY VERY LOYAL TO THE BOOK,Positive,1.6
AND THE BOOK IS NOT NECESSARILY THE MOST THRILLING BOOK EVER,Negative,-1.4
UM HOWEVER IT IS THIS LOYALTY TO THE ORIGINAL SOURCE THAT GIVES IT ITS FLAWS,Negative,-0.2
IT WASNT REALLY THE BEST THE MOST THRILLING READ EVER ILL SAY THAT,Negative,-1.4
I MEAN THE ENTIRE XXX IS BELLA SWAN KRISTEN KRISTENS STEWARDS CHARACTER MOBBING AROUND COMPLETELY DEPRESSED,Negative,-1.4
THE ANGSTY TOO ANGSTY MOMENTS WITHDRAWN OUT TO THE MAX AS FAR AS THAY CAN GO,Negative,-1.0
SO OVERALLNEW MOON EVEN WITH THE BIGGER BETTER BUDGETS HUH IT WAS STILL TOO LONG,Negative,-1.8
AND THAT WAS REALLY BORING,Negative,-1.6
LIKE A MOVIE CALLED COWBOYS AND ALIENS A LOT OF PEOPLE WOULD THINK WOULD BE KIND OF LIKE CRAZY,Negative,-0.4
I JUST THOUGHT IT WAS KIND OF STUPID,Negative,-2.0
SO YOU CAN CARE ABOUT HIM,Neutral,0.0
THERE ARE SOME FLAWS HERE,Negative,-1.0
AND ALSOUM OLIVIA WILD SHES PRETTY GOOD,Positive,2.0
AND IM GONNA GIVE IT AN EIGHT OUT OF TEN,Positive,2.2
IT WAS REALLY FUN,Positive,1.4
A VERY GOOD TIME,Positive,2.2
AND I DEFINATELY RECOMMEND YOU CHECK IT OUT IN THEATERS,Positive,2.2
AND THERE BUT THEYRE NOT HUGE GLARING FLAWS,Negative,-0.6
BUT I WAS KIND OF EXPECTING THAT,Neutral,0.0
I WASNT A HUGE FAN OF IT,Negative,-1.0
AND ALSO I LIKE HOW ITS KIND OF UPFRONT TO SHOW THEM TO US INSTEAD OF HIDING THEM LIKE SHOWING A LITTLE LIKE AN ARM ON SCENE OR SOMETHING NO THEY JUST STRAIGHT UP SHOW IT TO US,Positive,1.6
AND I REALLY ENJOYED THAT,Positive,1.8
I IT WAS REALLY COOL WHEN THEY DID THAT,Positive,1.8
COZ THE ALIENS WERE REALLY COOL LOOKING,Positive,1.8
THEY ARE HUGE,Positive,1.0
THEYRE REALLY STRONG,Positive,0.8
AND THEYRE KIND OF SCARY LOOKING,Negative,-0.8
I DIDNT EXPECT THAT,Neutral,0.0
SHES ACTUALLY PRETTY GOOD,Positive,1.4
SHES IN EVERYTHING NOWADAYS,Neutral,0.0
SHES BEAUTIFUL,Positive,0.2
AND SHES NOT A BAD ACTOR,Positive,0.2
DANIEL CRAIG DOES A VERY GOOD JOB HERE,Positive,2.4
HE KIND OF CHANNELS THE MAN WITH NO NAME CLINT EASTWOOD,Positive,0.6
BUT HE BECOMES MORE LIKEABLE,Positive,0.6
HIS GUTS DEVELOPED MORE AS MORE LIKEABLE CHARACTER,Positive,0.6
MUCH SAY THAT I REALLY ENJOYED COWBOYS AND ALIENS,Positive,2.0
YOU GUYS DONT KNOW WHAT YOURE GONNA GO AND SEE WHEN YOU GO WALK INTO THE MOVIE CALLED COWBOYS AND ALIENS,Neutral,0.0
THERE WAS A LOT OF FUN,Positive,0.4
THE ONLY OSCAR THAT I CAN EVEN THING OF IS MAYBE LIKE BEST CINEMATOGRAPHY,Neutral,0.0
IF YOURE EXPECTING SOME ARTSY SERIOUS OSCAR CONTENDER THAN YOURE WRONG,Negative,-0.4
AND MAYBE BEST VISUAL EFFECTS,Positive,1.6
BECAUSE THE CINEMATOGRAPHY IN THIS MOVIE IS GREAT,Positive,2.4
BUT AGAIN YOU YOU CANT EXPECT A HUGE LIKE SURREAL MIND BENDER FROM THE MOVIE CALLED COWBOYS AND ALIENS YO,Negative,-0.4
COZ THE VISUAL EFFECTS ARE PRETTY COOL,Positive,1.8
SUCH AS SOMETIMES THE ALIENS IN THE WESTERN SETTING DO LOOK A LITTLE GOOFY,Negative,-0.6
AT FIRST HES JUST KIND OF LIKE GRUMPY OLD GUY,Negative,-0.6
HES HE GIVES AN ENTERTAINING PERFORMANCE AS THE KIND OF LIKE THE LEADER THE OF THE TOWN,Positive,1.0
OVERALL I REALLY ENJOYED COWBOYS AND ALIENS,Positive,2.0
NOT A HUGE FLAW BUT ITS THERE AND ITS NOTICABLE,Negative,-1.4
THE ACTION IS REALLY INTENSE WHICH SURPRISED ME,Positive,2.2
AND ITS SATISFACTORY,Positive,0.8
THERES SOME REALLY INTENSE ACTION SCENES ESPECIALLY THE SCENE WHEN THE ALIENS FIRST INVADE,Positive,2.0
I DIDNT EXPECT THE ACTION TO BE SO INTENSE,Positive,1.2
IT GAVE ME CHILLS,Positive,0.5
THAT SCENE IS LIKE CRAZY,Positive,0.2
THE ACTION IS REALLY COOL,Positive,2.6
I ITS A LOT OF FUN,Positive,2.0
ONE THING I LIKE WITH THE ALIENS IS THAT A THEY ARE NOT JUST WEAK LINKS THAT HIDE BEHIND THE TECHNOLOGY,Positive,1.4
THE ALIENS ARE REALLY COOL,Positive,2.2
I THINK HE DOES A GREAT JOB AT WHAT HE DOES,Positive,2.0
AND A LOT OF PEOPLE HAVE BEEN SAYING THAT,Negative,-0.2
HARRISON FORD IS ALSO GOOD,Positive,1.4
ALSO HIS INNOCENT ACCENT IS PRETTY CONVINCING,Positive,1.2
AND HE DOES A REALLY GOOD JOB,Positive,2.2
HE DOESNT TAKE CRAP FROM ANYBODY,Positive,0.6
IS REALLY REALLY HARD CORE,Positive,1.2
AND SOMETIMES IT KIND OF VEERS INTO CLICHE ACTION MOVIE TERRITORY,Negative,-1.0
HES A REALLY BAD ASS,Positive,2.2
BUT SOMETIMES IT JUST VEERS ENTIRELY CLICHE ACTION MOVIE TERRITORY AGAIN,Negative,-1.6
BUT THEY ARE NOTICABLE FLAWS,Negative,-1.8
BUT THEN YOU KIND OF LIKE WALK OUT OF THE MOVIE AND YOURE LIKE WELL I I GET WHAT HAPPENED I UNDERSTAND WHAT HAPPENED,Negative,-1.0
BUT WHAT WHAT WOULD YOU DO FOR GREEN LANTERN MOVIE 2 THAT WOULD BE EVEN LIKE WORTH WHILE NOW,Negative,-0.8
