text,sentiment,score
"Key is part of the people that we use to solve those issues, whether it's stretch or outdoor resistance or abrasions or different technical aspects that we really need to solve to get into new markets, they've been able to bring solutions.",Positive,1.0
They've been able to find solutions or at least bring some answers to the table.,Positive,0.6666666865348816
"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",Neutral,0.0
Key Polymer brings a technical aspect to our operation that we don't have internally.,Neutral,0.0
"Key brings those types of aspects to a business on new markets, new potentials, and even on our equipment of how things run and operate with a pretty big, long experience with their team.",Positive,1.0
"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",Positive,0.6666666865348816
"Introduction Speaker: Dr. Erma Jean Sims, Sonoma State University My name is Dr. Erma Jean Sims I'm a member of the faculty of the School of Education at Sonoma State University.",Positive,0.3333333432674408
"It's important for teachers to understand their legal, ethical, and professional obligations in an educational setting.",Positive,1.0
Noncompliance can result in legal liability to you and to the school district in which you are employed.,Neutral,0.0
"A 1983 report, “A Nation at Risk,” argued that America itself was “being eroded by a rising tide of mediocrity",Negative,-0.6666666865348816
the state of American education,Neutral,0.0
"Federal spending on education soared eightfold in the past twenty years, rising much faster than inflation",Positive,0.3333333432674408
"” [President Ronald Reagan:] ""Look at the record",Neutral,0.0
""" President Ronald Reagan blamed the professional bureaucracy of education",Negative,-1.0
"But during the same period, Scholastic Aptitude Test results went down, down and down",Negative,-2.0
"For decades as a teacher and activist, he had complained about the burden of bureaucratic interference",Positive,0.6666666865348816
"And in part, Al Shanker did too",Neutral,0.0
It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,Negative,-0.3333333432674408
"""Now, that word 'professional' is becoming more and more of a dirty word for teachers",Negative,-1.6666666269302368
Structural mounts inside have to be properly stress analyzed so we make sure all that happens,Positive,0.3333333432674408
"We're using state-of-the-art instruments, cutting edge instruments, to measure things like water vapor, clouds, temperature and a whole bunch of trace gases",Positive,0.3333333432674408
So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,Neutral,0.0
so all that has to go through aerodynamic analysis etc,Neutral,0.0
"I am absolutely optimistic, I think that there is no other way to be.",Positive,2.3333332538604736
"And they knock and if you don’t open the door and you wait till they bang and you don’t open the door, eventually it will get so frustrating that they will knock that door down.",Negative,-0.3333333432674408
"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.",Positive,2.0
